helpfulCounts,ratings,reviewText
"1401","5","These cookies taste great when made just the way the recipe is written.  But, if you're like me and your cookies always turn out flat, here's how to make these cookies turn out taller, just like the ones in the picture. First, turn the oven temp down about 10 degrees. Second, don't soften the butter before mixing, just cut it into 1 tbsp pieces and mix with the sugar. Third, add an extra 1/4 cup of flour to the dough. Finally, once you've filled the thumbprints with jam, put the whole cookie sheet in the freezer for 10 minutes before baking. The first time I followed the recipe and my cookies were so flat the jam leaked through the bottom, and the second time I made these adjustments and the cookies not only tasted delicious, they looked perfect, too!"
"439","5","I think I figured out why some people have trouble with this recipe. Made one batch, followed recipe exactly. They turned out great. Made another, but decided to substitute vanilla for the almond extract. BIG MISTAKE! They turned out flat as a pancake, so I'm attributing the cause to the switch in the extracts because I made a third batch, like the first (with the almond extract) and they were perfect. Also followed another reviewer's advice and used a chapstick end to make the hole. These are delicious and attractive IF you follow the recipe exactly."
"355","5","Have been making these for Christmas since they first appeared in a Pillsbury Classic cookbook many years ago. They are a tender, buttery, melt-in-your mouth cookie that also look pretty on the plate. They do spread a bit, so I always chill the dough first and roll the dough into balls a little smaller than the recipe suggests. This is simply a perfect Christmas cookie."
"232","5","I've made these cookies a half-dozen times now. They've been DELICIOUS every single time, but here's a few words of advice: First, do not leave out the almond extract or sub it with vanilla. The almond adds a great flavor and its very distinct. Second, pull the cookies out of the oven midway through cooking, take a spoon and lightly spread the jam outwards and even it out into a circle. This way, the cookies will look much prettier when done. The first time I made them, the jam had bubbled all over the cookie and wasn't evenly spread. The flavor was the same of course but the jam likes to go its own direction and I like them to look pretty. Great recipe!  ETA: I have found that once the cookies are ready to be put in the oven, if you put them in the fridge for ~15 minutes, it will eliminate the need to 'fix' the jam half-way through baking. Also, because shortbread is naturally so white, it is easy to burn these without realizing that the bottoms are browning. So, carefully watch the edges and when they turn light brown, they are done (even if they don't look like it!) Also, use the back of a teaspoon to make perfect little holes to fill."
"222","5","These are so fabulously simple and great. Although... it did take 3 tries in the oven before I figured out how to eliminate the jam from spreading all over my cookie sheets and creating a mess! (even the messy looking cookies tasted great though) I should have listened to other reviews... In the end... I made the cookies like small little buttons - about the size of a quarter, rolled them into a ball, like another reviewer and then made a nice indent for the jam. You don't need a lot of jam... when you use too much, the jam will destroy your cookie sheets... suggestion for novice bakers like me... use parchment paper the first few rounds so you don't have to deal with the mess in the event you don't use the right amount of jam or push the indent enough to hold the jam... Anyhow, I baked the really small cookies for only 12 1/2 minutes and they turned out fabulously. Each oven is different though... that much I've learned... so I started to look for golden brown edges and then pulled the cookies out .... makes for a tasty shortbread cookie! even my husband, who is a die-hard chocolate chip cookie lover and told me 'i don't like sugar/shortbread type cookies'... well... he has managed to eat close to a dozen of the little button cookies in the past few hours!"
"180","5","Wow - a simple cooke with a absolutely decadent flavor! I mean these are really, really good. the key to these is chilling the dough, rolling them small and taking the genious advice of using a chapstick cap to make the indentions. Whoever thought of that little trick deserves a medal! These cookies definitely melt in your mouth. I used glaze featured with the recipe, but you can definitely change this up with melted white and dark chocolate - YUM!"
"155","5","The first time I made this recipe I didn't have any butter on hand and used margarine (Can't Believe It's Not Butter). Although I typically never bake with margarine - I was surprised at how well it worked for this recipe. Although the recipe works as stated - I've found a way to 'improve' it a bit.   By adding 2 egg yolks and 2 extra tablespoons of flour - it creates a tastier cake-like cookie. The trick is to beat the butter by itself until the butter is very pale - then add the sugar and beat again until very very pale. Add the eggs and flavoring - then add the flour.  I don't use extract because I don't use any alcohol - I have found an almond emulsion for bakers (alcohol free and much better than extracts) and these cookies are PHENOMENAL with the almond flavoring. Vanilla works well too - but the almond is the best!   Of all the cookies I bake these are the most requested cookies.   I use a cookie scoop to have even sized cookies - shape them into round balls and only use my thumb to make the indentation. Fill a plastic ziplock bag with the preserves and snip the corner of the bag - and pipe the preserves into the center of the cookie (less fuss and mess)... if you have any extra preserves you can just squeeze it back into the jar. Be sure to use parchment paper, rotate half way through baking, and remove from oven when the bottoms begin to brown (the tops of the cookie shouldn't brown)."
"87","5","The best and easiest holiday cookie out there. I have been making this for a few years now. I make equal batches of Strawberry and Raspberry. These cookies spread. After you roll your cookies and put your jam in put them back in the fridge for about 20 min. makes a huge difference."
"82","5","These cookies are not only impressive, they are mouth watering delicious! I made the 'thumb print' indentation with a wine bottle cork, and filled the centers with a seedless raspberry preserve that I heated on the stove for an easier consistency. I alternated the drizzle every other cookie with a semi-sweet chocolate and the almond glaze, using a zip lock baggie to pipe the glaze. This has got to be the most simple, yet impressive cookie I have ever made!"
"81","5","These didn't turn out exactly how I was expecting, however, the taste made up for the appearance. Make sure to space the cookies far enough apart on the cookie sheet so they don't end up molded together. AND...make your thumb print indentions deep enough so the raspberry jam doesn't run out. Mind did just that and made a mess on my cookie sheet. I suggest using your little finger instead of your thumb...so the indentions look a little more delicate. I sprinkled poppy seeds in my dough before baking to give the cookies a little 'something'. I had to use a little more than 1 tsp of milk to make a glaze. I poured my glaze into a ziploc bag, cut off a corner and drizzled the glaze on the cookies. Again, despite the runny jam, these did taste really good and I do recommened them:) Thanks for sharing Dee. P.S. The second batch I made, I used the top of a chap-stick container to make my indentions...they turned out great!!"
"62","5","Wonderfully easy and yummy! Made these for a cookie exchange and found that even when made with the same exact ingredients the temperature of these ingredients can effect the expansion of the cookies...the cooler the dough before you put it in the oven, the less I found these to expand."
