helpfulCounts,ratings,reviewText
"2751","5","Fail-proof. I followed the directions and everything turned out perfectly. ADVICE: freeze (or put in fridge) unwrapped PB cups - it is easier to press the frozen candy into the hot cookie without falling to pieces. SUPERB!"
"1556","5","WOW! Fantastic Recipe!  Made a single batch to try it out exactly as it was printed.   Some Key Tricks I Used: **Make dough, and pop into refrigerator for about an hour--it makes cookies easier to scoop. **I used the smallest cookie scoop I had (approx 2 tsp) and levelled off the bottom (so I had exact size balls (With flattened ends!) **I scooped the first batch into the mini muffin tin...and while that batch baked, I scooped the rest of the dough onto a plate--that way I could quickly refill the pan once cooled (I have asked Santa for an extra pan for Christmas--It would be good to make more than 12 at a time!!!) **Freeze PB Cups, unwrap, then pop back into freezer--until cookies are out of oven. **Allow middles to 'sink' a bit before adding the pb cup(should happen when removed from the oven after 8 minutes) the 'sink' will prevent the sides of the cookie from cracking. **ABSOLUTELY refrigerate the pan before removing cookies for cooling rack... BUT **Decorate with sprinkles BEFORE refrigerating pan--place decor quickly, as the chocolate will start to melt. Shifting placement of the decorations will be tricky! **Once cooled...HIDE from husband, kids, neighbours...they disappear faster than you can make 'em!  Great recipe!"
"838","3","I'm not sure where I went wrong, but it most have been me because all of the other reviews don't mention the cookies cracking. I used a regular muffin tin, ungreased. The balls stayed as balls, no spreading. When I took them out at 8 mins. and pressed the frozen p-nutbutter cup in, the cookies edges cracked and seperated. Any suggestions?"
"478","4","These were pretty good. One thing I can say is that they dont look like they're done cooking after 8 minutes, but they are. Dont make the mistake of overbaking them."
"416","5","5 Stars!  I used my husband's sugary 'Skippy' Peanut Butter. Also used a cookie sheet insted of a muffin pan, and cookies turned out perfect.  EASY TO MAKE.   DELICIOUS. Everyone raved about them, even people who normally didn't like peanut butter.  INGREDIENTS AND TIMING ARE PERFECT. I wouldn't suggest changing a thing. I thought that they were not done at first, and was tempted to leave them in longer, but the cook time was perfect.  LONGEVITY/FRESHNESS. The cookies stayed fresh and soft for quite awhile in the cookie tins they were in.   OVERALL, an excellent recipe that I will be making and sharing every Christmas, for years to come!"
"286","5","I made these for my Christmas Party and they were a hit! I doubled the recipe and came out with 72 cookies. I would recommend popping the trays into the refrigerator after you place the candy cups in the cookies. If you don't, the chocolate centers keep melting and it takes longer for them to cool and store. Easy to remove from the tray and small enough to fit many on a serving tray. I will definitely make these again."
"205","5","These are great! My husband has pretty much polished them off in 2 days by himself, I will have to make a couple more batches for the christmas tins. One hint, I didn't know how big to make the balls of dough, to get 40 cookies, make them about 3/4 inch in diameter."
"179","5","I used whole wheat white flour (it's lighter in texture and naturally sweeter than regular whole wheat) and all natural PB. Husband couldn't tell these cookies were 100% whole grain and gobbled them right up. I chilled the dough for a few hours, and instead of forming balls, I just used a medium cookie scoop to get uniform-sized rounded mounds in the fraction of the time. I dropped the mounds into regular muffin tins because that's all I had, but they still came out looking great. I did have to cook them 3 min longer though because I made them larger than what the recipe called for. Don't make the mistake of cooking them too long (recipe is right on unless you make your cookies bigger). The dough should be soft when you take it out. The first time I made this, I baked them too long (waited for them to turn golden), and they were dry."
"159","5","These cookies were EXCELLENT! i test most of my recipies on my sister and my boyfriend and they both LOVED THEM! They both keep begging me to make more. i followed the recipe exactly, however instead of putting the batter into muffin cups i simply rounded the dough and put them on the cookie sheet and pressed the reeses cups into them immediatly after taking them out of the oven! worked extremely well! LOVE IT:)"
"125","5","By far THE BEST cookie!!! If you like peanut butter, if you like chocolate, if you just like sweets period this cookie is for you!! The dough is just soo chewy and perfect and the peanut butter cup just tops it off!! I did however have to bake the cookie 10 minutes and not 8. I also didn't have a mini muffin pan and I forgot to buy the mini cupcake paper so I just had to use my baking sheet! Still came out great! This is one I will DEFINATELY be making over and over again!"
"47","5","I make these almost every year and they are a big hit with the family and with the office. Also try them with the white chocolate peanut butter cups ? very yummy! Most of the time I don't make them in the muffin cups, I use the muffin liners and just line them up on a cookie sheet (you can get tons on there) and drop a ball of dough into each. This works great and I love the presentation for office/family parties. The muffin papers will keep the cookie together so that it doesn't spread out too far. Also to the reviewer who had sticky dough, sometimes too soft butter or too much liquid can cause sticky dough. Usually add flour, 1 tbsp at a time and/or put dough in fridge to firm up a bit. ???? LOVE these cookies ????"
"40","5","I haven't baked since I was 5 years old and the only thing I remeber doing is licking the batter. I made these today and they are SUPER EASY - even for the non-baker. A few tips: (1) definitely unwrap the candy first and place it in the freezer because it's easier to push in. (2) use Pam Flour spray so the cookies don't stick - once they've cooled, use a spoon to pop them out. (3) put festive sprinkles on top depending on the holiday - use a spoon to sprinkle them off while still hot and then do a gentle press with the back of the spoon to make sure they melt in. (4) don't skimp on not getting the mini muffin trays - I thought about it but you really do need them. The 8 minute baking time was right on for me. Enjoy!"
"35","5","These cookies look good and I had no problem getting them out of the pan, I purchased the mini-muffin pans to make them. I will use a regular peanut butter cookie recipe next time I make them because we enjoy more of a peanut butter flavor and it just wasn't there, other than that great recipe, pretty cookie and thank you for sharing! Just to update: I now use a recipe for peanut butter cookies that has 1 cup of peanut butter in it and it made these just perfectly for pb lovers like myself!"
"30","5","Just like everyone else stated, these came out great for me. So easy and quick to make. I used crunchy pb and it was yummy. I stuck exactly to the 8-minute cooking time and it was perfect. Also, it made more than 40 for me (I was using a small scoop) so when I ran out of PB Cups I used Hershey's Kisses that I had and pushed them in upside-down to create a perfect round chocolate center. I decorated them with red and green royal icing and sprinkles for Xmas and they were perfect little holiday treats! Oh yeah, freeze your pb cups before and after opening (while you wait for the cookies to bake). Then take the cookies out of the oven, pop the chocolates in, and throw the whole pan back in the freezer for 3-5 mins to keep the chocolates from melting, then remove from the pan. I cooled mine in the freezer as well for quick-cooling so I could decorate. Good luck!"
"30","4","These are great cookies that are super easy to make! I didnt worry about actually rolling the dough into balls since the dough got super sticky on my hands. So instead I just spooned the dough into the mini cupcake pans, and they turned out just fine! One note: you really do need to work fast to place the PB cups into the dough when finished, and definitely let these cookies cool COMPLETELY before removing them from the pans. If you dont, the PB cups start running and melting all over the side of the cookie."
"26","5","Wonderful cookie. Found them easier to remove if you chilled them in the fridge."
"25","5","I made these today for a back-to-school luncheon. It took me a little bit to figure it all out. First, I froze the peanut butter cups. I used Reese's and Wal-Mart brand peanut butter cups. (The Wal-mart brand was gooier and didn't look as pretty, but it tasted 5 times better to me.) I baked them for 7 minutes. I pushed in the frozen peanut butter cups. Then, I put the whole pan in the freezer for about 7 minutes. Then, I used a serrated knife to pop them out of the mini-muffin tin. They are very scrumptious!"
"23","5","This recipe is wonderful! The cookie part was soft & chewy and kept well. The peanut butter cups pushed right in so the cookies almost looked like little tarts. Everyone raved about these!"
"21","5","Kids love these!"
"20","5","Very good! My husband's favorite. Made a huge batch of these for my wedding. They went like hotcakes!"
"19","5","These cookies are amazing! I made them this past Christmas, needless to say after eating a few of them after they came out of the oven they didn't make it out of our house...we decided to keep these yummy treats for ourselves :-P I have since made them again to share with friends and family and everyone loves them. I have found that I prefer to use Trader Joe's milk chocolate peanut butter cups over Reese's as they are creamier and contain more peanut butter. I will making these cookies often, thanks for sharing such a great recipe!"
