helpfulCounts,ratings,reviewText
"2348","5","This is the same recipe that my mother has made for years, and it is often said that it was this pudding that helped her snag her husband. I have noticed a few problems people have been having with the recipe, and as usual it is not problems really with the recipe, but with the person/and or technique used while making it. (Don't mean to sound harsh.) First off, we always use skim milk in the recipe, and have never had a any problems. Secondly, NEVER use banana pudding to make this. Though I'm sure it would taste ok, it just isn't like the old fashioned stuff, and if you use the banana flavored pudding you always will have that fake banana flavoring floating around in it...YUCK. Third, one 5 oz. package is plenty to make this pudding thick. Just make sure to use ice cold milk when mixing it. Fourth, when creaming the cream cheese. It must be at room temperature before you can cream it or add the other ingredients to it, otherwise, you will get a lumpy mess. It is very important to cream it well with the sweetened condensed milk, because the air incorperated into this adds body and thickness to the overall dish. Finally, the dish that the recipe says to display the pudding in is merely a suggestion. This isn't a baked recipe, so it won't matter at all what type of dish you use. I prefer a large decorative glass bowl, and that way it can add a little more style to the whole dinner just by looking at it, and after that first bite, none of your guests/family/friends will"
"1026","5","Instead of the one larger box of instant vanilla pudding, I used one small box of instant vanilla pudding and one small box of instant banana cream pudding. I also replaced half the milk with heavy cream and used a tub of the extra creamy Cool Whip instead of the regular Cool Whip. Also, instead of the whole can of sweetened condensed milk, I used less than half because I didn't want it to be too sweet. I also crumbled some Nilla wafers on the top for a better presentation. I also used a smaller pan (I used a deeper, square casserole dish) and layered it in two layers instead of just one. I also put the sliced bananas in some diluted lemon juice to prevent browning. It is absolutely delicious and looks very appetizing!"
"857","5","I just have one comment. People who give reviews and have changed the recipe are not helpful at all. For once, I would like to see reviews based on exactly how the recipe is written."
"717","5","I took this to a party, and everyone loved it. I did make a few changes - I used Pepperidge Farm Chessmen cookies in place of the Nilla wafers. I used only 2 cups milk to mix into the instant pudding. I beat the pudding & milk with a mixer, then beat the cream cheese with the condensed milk separately, stirred the cool whip into the cheese mixture, and added that to the instant pudding. I used 8 bananas to make the 13 x 9 panful. The pudding set up perfectly and cut like a dream - no running or soupiness. The bananas did darken after we cut into it, but they tasted just as good the second day. This will serve a TON of people. This is my new favorite pudding recipe!"
"281","5","I have been making this recipe for over two years for family and large parties and have NEVER had any leftovers. People get upset if I don't bring this with me! I use 1-3.4oz. pkg of French Vanilla Instant pudding mix, and 1/2 of a 3.4oz. pkg of Banana Instant pudding mix, only 1/2 of the can of condensed milk to keep it from being overly sweet. I do also use more bananas, about six cover the bottom of a 9X13 pan. Everything else is the same. Yes, the cream cheese definately needs to be room temperature. EVERYONE who has tried this has loved it, asked for the recipe, and always wants me to bring it to their get-together. It is not like the original on-the-stove banana pudding which is very rich, this is a much lighter version and for the thousands that I have fed, much more preferred."
"253","5","YUM! I too followed the advise to use 3.5 oz size banana cream and a 3.5 oz size vanilla pudding instead of the 5 oz vanilla box. I reduced the condensed milk to 1/2 a can and it was still rich but delicious!! :)~  I put mine in a round bowl (IE small punch bowl, decorative bowl) and ended up with two layers. I used a whole 12 oz box of vanilla wafers. I sprinkled lemon juice on the bananas to keep them from browning. Next time I would suggest trying Fruit Fresh or something of the like.  MY suggestion is this....if you aren't making this for a large family/gathering and don't think you will have gobbled it up in about two days, then don't add the sliced bananas to the dessert.  Try slicing a banana and serving it on top or bottom of the bowl as you serve it. This will keep the bananas from turning brown and the dessert will last longer in your refrigerator.  Good Dessert!"
"209","5","This was fabulous! I read through ALL the reviews, made a couple of recommended changes, and now have the best recipe for banana pudding that we've ever had. I used l 3.4-oz box of instand banana pudding and 1 3.4-oz box of French vanilla pudding. I cut the milk from 3 cups to 2 cups. Otherwise, it was the same as the recipe. Also, I topped it with crushed Nilla Wafers right before I served it. There were 10 of us at dinner, and it was gobbled up very quickly. Everyone LOVED it and wanted the recipe!"
"121","5","My mom and gramma were from the south and this no cook banana pudding is a staple. My granny made her's more like a pie and didn't use the condensed milk. Either way it's SO good and tastes heavenly! And seriously, for those of you who change the recipe by using fat free this or that, and reduced calorie and then leave less than 5 stars because it didnt come out right or tastes funny?! WTH people! You should be banned from allrecipes!"
"116","1","My cream cheese was at room temperature. I followed the recipe. The only thing I did differently was put in half the condensed milk (which a lot of people suggested in order to make it less sweet)... and it turned into a soup that never thickened. What did I do wrong?"
"97","5","Love this recipe. I have used it a total of 5 times. I used Jello pudding mix.  1st time turned out perfect 2nd time turned out perfect 3rd time - the pudding was runny and just wouldn't set. 4th time - the pudding was runny and just wouldn't set. 5th time - I figured out my mistake and it turned out perfect.  On my 3rd and 4th tries, it turns out I got the Jello 'Cook & Serve' mix instead of the 'Instant' mix . It was entirely my mistake, but it was such an easy mistake to make! Both boxes look exactly the same - same colors same font, except on the left bottom of the front of the box where one says 'Instant' and the other says 'Cook & Serve'.  Make sure to get the 'Instant' pudding mix."
"89","4","Six of us had this for dessert last nite and all thought it was yummy. I used a bit more than half of the sweetened condensed milk (as per other reviewers), added an extra banana, and made it in a clear, deep bowl. That way I was able to make layers and also lay the 'Nilla wafers up against the side of the bowl for 'looks'. Tonite we ate the 'leftovers' and thought they were even better. I sliced up some fresh banana in each person's bowl before serving the leftover pudding."
"85","5","i made this recipe for my bookclub and everyone wanted the recipe...i took the advice of one reviewer and cut the milk to 2 cups and i used the pepperidge farms butter pecan chessman cookies...was EXCELLENT...thanks patricia..."
"59","5","I am really posting this review on behalf of my family. They LOVE this recipe. I've been making it for years now and am only now writing a review. I had a get-together last week and my sister actually got irritated with me because I hadn't made 'My Banana Pudding.' I keep telling them that I got the recipe here, and they keep attributing it to me! Oh well, I'll take the compliment! Change NOTHING, but do make the sure the cream cheese is room temperature. It's divine, and this is coming from a family born and bred in Savannah. We know good banana pudding! The ONLY advice I would give is being careful when you use a hand mixer - It can get a little 'splashy'. I use a tupperware top to block the spritzes. Of course, I usually don't make desserts, so I could very well just be inept. Regardless, you will LOVE this recipe, and fans of banana pudding will rave and quite possibly buy you gifts. When I make this I have to double the recipe so my husband can eat the other half! He actualy (jokingly) encourages party guests not to eat it so that he can pig out later. It's a little alarming, how much of this one grown man can eat, but that's my problem, not yours! Make this!!!!!"
"57","5","I used Lite Cool Whip, lite cream cheese and reduced calorie vanilla wafers. To keep that 'rich' taste, though, I used whole milk (rather than 2% or fat-free) and regular condensed milk (rather than lowfat). No one seemed to notice and everyone raved about the taste.   Plus, I use a couple more bananas and the whole box of wafers when I make it. Makes a GIANT bowlful! Thanks Patricia for posting this recipe!"
"54","5","This was very good. I always made the warm banana pudding but my family liked this one a lot. So now I ahve a great warm one and a cold one. Thanks!"
"32","5","OMG this was AAAAAmazing! I had alot of people over this weekened and everyone LOVED this dish. I felt proud of what I accomplished in presenting something that everyone loved. Only thing is, I really didn't make it. I have to give credit to my 9 year old who basically made the whole thing by himself. There was one little change that we made and that was putting the enitre container of whipped cream in the pudding mixture. That was done, well... because the 9 year old did it. It turned out fantastic. Everyone said how light and fluffy it was. Total Hit! And... 'So easy even a 9 year old can do it!'"
"27","5","Oh My God! I use Allrecipe recipes probably 2 - 3 nights a week - some are great, some are good, some are real losers. However, this banana pudding recipe is the top - it is AWESOME! The second it hits your mouth you are in heaven - I am not exaggerating - I will make this everytime I am asked to bring a dessert anywhere - fabulous. Try it - you will NOT be disappointed! Thank you Patricia!"
"21","5","I have been making this for years and it never fails to get rave reviews. I have tried it with all low fat/low sugar ingredients and you can't taste the difference. Now that DH and I are empty nesters, I make a half recipe and it too turns out wonderful. Couple of tricks I've learned to ramp it up a notch are - 1) I slice the bananas and then squeeze some fresh lemon juice over them and toss. This not only helps keep them from turning brown but serves to cut the sweetness slightly and 2) I don't like the artificial banana flavor in the instant banana pudding so to bump up the banana flavor I take one (or two) bananas, slightly mash them and then nuke them on high for 20 sec stirring after 10sec. I then stir in a squeeze of lemon and mash them really well and add to the mixture before stirring in the whipped cream. The microwave really softens the banana and causes it to release it's juice really adding to the flavor. Try it next time and see what you think..."
"21","5","Very good! I did like many other reviewers and used a glass bowl and layered the ingredients...2 layers of cookies, bananas, pudding and topped with whipped topping and cookie crumbs. I used low fat everything...milk, condensed milk, cream cheese, and it still tasted great! I DO regret that I didn't use the whole can of milk. I followed others' advice and only used 1/2 can, and I would have preferred it to be a tad bit sweeter. It still has a delicious taste, but it would have been better with the whole can. EASY, DELICIOUS recipe! Good luck! Ally"
"18","5","Made this yesterday for a picnic, yes in Upstate NY it was 65 and sunny and we had a picnic!   Anyways, I read the reviews and just had to make this.  The one review asked if it was supposed to be soupy. That stuck in my head for what ever reason.  I was putting this together and got to the point to add milk. I stopped in mid action to check the recipe again, 3 cups. I used a package of pudding mix that only used 2 cups, NOW i know why that others was soupy. Checked the size and I used the small package and not the larger one.  So only adding 2 cups of milk, I then added the whole container of whipped topping.  All was perfect!  I used fat free CC, fat free cond. milk, low fat cookies and skim milk. It was fantastic! All 14 people that had it loved it, raved about it and asked for the recipe.  I will make this again. Totally a wonderful easy and tasty dessert! Thanks!"
"17","5","Very good and perfect balance of flavors. I enjoy bringing this to potlocks because it's portable and disappears quickly. I've learned to carry copies of the recipe with me when I go so I can hand out copies to all who ask for it. Thank you!"
